drug_name,food_name
Nadolol,alcohol
Nadolol,natural licorice
Nadroparin,anticoagulant herbs
Nadroparin,garlic
Nadroparin,ginger
Nadroparin,ginkgo biloba
Nafamostat,anticoagulant herbs
Nafamostat,garlic
Nafamostat,ginger
Nafamostat,ginkgo biloba
Nafarelin,alcohol
Nalbuphine,alcohol
Naldemedine,st. john's wort
Nebivolol,alcohol
Nefazodone,alcohol
Neratinib,grapefruit
Neratinib,st. john's wort
Netupitant,grapefruit
Netupitant,st. john's wort
Nevirapine,alcohol
Niacin,alcohol
Nicardipine,grapefruit
Nifedipine,alcohol
Nifedipine,grapefruit
Nifedipine,natural licorice
Nifurtimox,alcohol
Nilotinib,grapefruit
Nilotinib,st. john's wort
Nilutamide,alcohol
Nimodipine,grapefruit
Nirmatrelvir,st. john's wort
Nirogacestat,grapefruit
Nisoldipine,grapefruit
Nitrazepam,alcohol
Nitrazepam,caffeine
Nitroglycerin,alcohol
Nizatidine,alcohol
Nizatidine,caffeine
Norfloxacin,caffeine
Norgestrel,grapefruit
Norgestrel,st. john's wort
Normethadone,alcohol
Nortriptyline,alcohol
Ofloxacin,caffeine
Olanzapine,alcohol
Olaparib,grapefruit
Olaparib,st. john's wort
Omadacycline,calcium-rich foods
Omadacycline,iron
Omadacycline,magnesium
Omadacycline,zinc
Ombitasvir,st. john's wort
Opium,alcohol
Orciprenaline,caffeine
Orphenadrine,alcohol
Osimertinib,st. john's wort
Otamixaban,anticoagulant herbs
Otamixaban,garlic
Otamixaban,ginger
Otamixaban,ginkgo biloba
Oxazepam,alcohol
Oxcarbazepine,alcohol
Oxilofrine,alcohol
Oxprenolol,alcohol
