drug_id,drug_name,category,dual_role,notes
cotinine,,pharmaceutical,,Enantiomer/variant of: 
cyclophosphamide,,pharmaceutical,,Enantiomer/variant of: 
cyclosporin A,,pharmaceutical,,Enantiomer/variant of: 
cyclosporine,,pharmaceutical,,Enantiomer/variant of: 
cyclosporine A,,pharmaceutical,,Enantiomer/variant of: 
cysteamine,,pharmaceutical,,Enantiomer/variant of: 
daunorubicin,,pharmaceutical,,Enantiomer/variant of: 
deferiprone,,pharmaceutical,,Enantiomer/variant of: 
deferoxamine,,pharmaceutical,,Enantiomer/variant of: 
dehydroepiandrosterone,,pharmaceutical,,Enantiomer/variant of: 
dehydronifedipine,,pharmaceutical,,Enantiomer/variant of: 
deoxycholic acid,,pharmaceutical,,Enantiomer/variant of: 
desipramine,,pharmaceutical,,Enantiomer/variant of: 
dexamethasone,,pharmaceutical,,Enantiomer/variant of: 
dexamethazone,,pharmaceutical,,Enantiomer/variant of: 
dextran sulfate sodium,,pharmaceutical,,Enantiomer/variant of: 
dextromethorphan,,pharmaceutical,,Enantiomer/variant of: 
di-n-butylphthalate,,pharmaceutical,,Enantiomer/variant of: 
diazepam,,pharmaceutical,,Enantiomer/variant of: 
diazoxide,,pharmaceutical,,Enantiomer/variant of: 
diclofenac,,pharmaceutical,,Enantiomer/variant of: 
diclofenac sodium,,pharmaceutical,,Enantiomer/variant of: 
diclofenak,,pharmaceutical,,Enantiomer/variant of: 
diclofinac,,pharmaceutical,,Enantiomer/variant of: 
diethylnitrosamine,,pharmaceutical,,Enantiomer/variant of: 
different zinc sources groups,,pharmaceutical,,Enantiomer/variant of: 
digoxin,,pharmaceutical,,Enantiomer/variant of: 
dihydroergocristine,,pharmaceutical,,Enantiomer/variant of: 
dihydrotestosterone,,pharmaceutical,,Enantiomer/variant of: 
diltiazem,,pharmaceutical,,Enantiomer/variant of: 
dimethyl sulfoxide,,pharmaceutical,,Enantiomer/variant of: 
diphenhydramine,,pharmaceutical,,Enantiomer/variant of: 
docetaxel,,pharmaceutical,,Enantiomer/variant of: 
donepezil,,pharmaceutical,,Enantiomer/variant of: 
dopamine,,pharmaceutical,,Enantiomer/variant of: 
doxorubicin,,pharmaceutical,,Enantiomer/variant of: 
doxycycline,,pharmaceutical,,Enantiomer/variant of: 
epicatechin,,pharmaceutical,,Enantiomer/variant of: 
erythromycin,,pharmaceutical,,Enantiomer/variant of: 
estradiol,,pharmaceutical,,Enantiomer/variant of: 
estrogen,,pharmaceutical,,Enantiomer/variant of: 
estrone,,pharmaceutical,,Enantiomer/variant of: 
estrone-3-sulfate,,pharmaceutical,,Enantiomer/variant of: 
ethanol,,pharmaceutical,,Enantiomer/variant of: 
