food_name,food_id,drug_name,drug_id,verdict
Beta-Glucan,10,isocarboxazid,662,LIT-confirmed
Beta-Glucan,10,selegiline,1158,LIT-confirmed
Beta-Glucan,10,lisinopril,732,LIT-confirmed
Beta-Glucan,10,amlodipine,59,LIT-confirmed
Beta-Glucan,10,hydrochlorothiazide,604,LIT-confirmed
Beta-Glucan,10,metoprolol,818,LIT-confirmed
Beta-Glucan,10,losartan,745,LIT-confirmed
Tyramine+Na+,795,tetracycline,1266,PubMed-NLP
Tyramine+Na+,795,t,1824,PubMed-NLP
Tyramine+Na+,795,doxycycline,405,PubMed-NLP
Tyramine+Na+,795,al,1455,PubMed-NLP
Tyramine+Na+,795,phenelzine,994,PubMed-NLP
Tyramine+Na+,795,tranylcypromine,1316,PubMed-NLP
Tyramine+Na+,795,isocarboxazid,662,PubMed-NLP
Tyramine+Na+,795,selegiline,1158,PubMed-NLP
Tyramine+Na+,795,lisinopril,732,PubMed-NLP
Tyramine+Na+,795,amlodipine,59,PubMed-NLP
Tyramine+Na+,795,hydrochlorothiazide,604,PubMed-NLP
Tyramine+Na+,795,metoprolol,818,PubMed-NLP
Tyramine+Na+,795,losartan,745,PubMed-NLP
Saturated Fats,9,phenelzine,994,DrugBank-text
Saturated Fats,9,tranylcypromine,1316,DrugBank-text
Saturated Fats,9,isocarboxazid,662,DrugBank-text
Saturated Fats,9,selegiline,1158,DrugBank-text
Saturated Fats,9,amlodipine,59,DrugBank-text
Saturated Fats,9,hydrochlorothiazide,604,DrugBank-text
Saturated Fats,9,metoprolol,818,DrugBank-text
Saturated Fats,9,losartan,745,DrugBank-text
Saturated Fats,9,isotretinoin,666,LIT-confirmed
Capsaicin,80,amlodipine,59,LIT-confirmed
Capsaicin,80,hydrochlorothiazide,604,LIT-confirmed
Capsaicin,80,metoprolol,818,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,lisinopril,732,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,enalapril,435,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,ramipril,1092,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,captopril,198,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,perindopril,988,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,theophylline,1271,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,ferrous sulfate anhydrous,513,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,ferrous sulfate,1786,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,ferrous gluconate,512,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,ferrous fumarate,511,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,amlodipine,59,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,hydrochlorothiazide,604,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,metoprolol,818,DrugBank-text
Ascorbic Acid (Vitamin C) + Flavonoids,617,warfarin,1396,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,aspirin,1469,LIT-confirmed
Ascorbic Acid (Vitamin C) + Flavonoids,617,statins,1772,LIT-confirmed
