lgn_food_id,food_name,has_fp,rep_compound,rep_smiles,strategy
1363,Boldine,True,,,original
1364,Caffeic Acid Ethyl Ester,True,,,original
1365,"2,4-Dichlorophenoxyacetic Acid",True,,,original
1366,Molybdate,True,,,original
1367,Chromone,True,,,original
1368,Thiamine Hydrochloride,True,,,original
1369,Hexylamine,True,,,original
1370,4-Pyridoxic Acid,True,,,original
1371,Cesium,True,,,original
1372,Paraoxon,True,,,original
1373,Anisatin,True,,,original
1374,N-Ethyl Trans-2-Cis-6-Nonadienamide,True,,,original
1375,Glucose 6-Phosphate,True,,,original
1376,Xanthohumol,True,,,original
1377,Alantolactone,True,,,original
1378,Alkanes,True,,,original
1379,Limonin,True,,,original
1380,Pectic Acid,True,,,original
1381,Zolpidem,True,,,original
1382,Juglone,True,,,original
1383,Procyanidin B2,True,,,original
1384,"2,3-Dihydroxybenzoic Acid",True,,,original
1385,3-Methyladenine,True,,,original
1386,"1-Chloro-2,4-Dinitrobenzene",True,,,original
1387,Glyceric Acid,True,,,original
1388,Dihydromyricetin,True,,,original
1389,Obacunone,True,,,original
1390,Lupeol,True,,,original
1391,Gambogic Acid,True,,,original
1392,Tomatidine,True,,,original
1393,Chalcone,True,,,original
1394,Formononetin,True,,,original
1395,Phytol,True,,,original
1396,Methyleugenol,True,,,original
1397,Potassium Citrate,True,,,original
1398,5-Methylcytosine,True,,,original
1399,Benzaldehyde,True,,,original
1400,Dimethyl Sulfone,True,,,original
1401,Trehalose 6-Phosphate,True,,,original
1402,N-Methylaniline,True,,,original
1403,13-Hydroxylupanine,True,,,original
1404,Menadione,True,,,original
1405,(+)-Myrtenol,True,,,original
1406,Alpha-Endosulfan,True,,,original
1407,Norathyriol,True,,,original
1408,Bromine,True,,,original
1409,Bilirubin Diglucuronide,True,,,original
1410,5-Hydroxytryptophol,True,,,original
1411,Oleuropein,True,,,original
1412,Erucin,True,,,original
1413,Loganin,True,,,original
1414,Butein,True,,,original
1415,Homoserine,True,,,original
1416,Maltotetraose,True,,,original
1417,Chicoric Acid,True,,,original
1418,Atractyloside,True,,,original
1419,Ginsenoside Rb1,True,,,original
1420,N-Dodecane,True,,,original
1421,"2,4-Dihydroxybenzoic Acid",True,,,original
1422,4-Hydroxy-2H-1-Benzopyran-2-One,True,,,original
1423,Ribitol,True,,,original
1424,Aminomalonic Acid,True,,,original
1425,Styrene,True,,,original
1426,Myricetin 3-Rhamnoside,True,,,original
1427,Triterpenoid,False,,,no_representative_found
1428,Isoliquiritigenin,True,,,original
1429,Dl-Dopa,True,,,original
1430,8-Hydroxyguanine,True,,,original
1431,1-Heptanol,True,,,original
1432,6-Deoxocastasterone,True,,,original
1433,Estrone Glucuronide,True,,,original
1434,Chloroform,True,,,original
1435,Osthol,True,,,original
1436,Ethanolamine,True,,,original
1437,Celastrol,True,,,original
1438,Deoxynivalenol,True,,,original
1439,Eupatorin,True,,,original
1440,Propranolol,True,,,original
1441,Hydroxysafflor Yellow A,True,,,original
1442,Borneol,True,,,original
1443,Laudanine,True,,,original
1444,3-Methyl-1-Butylamine,True,,,original
1445,"2-Amino-3-Methylimidazo[4,5-F]Quinoline",True,,,original
1446,"N2,N2-Dimethylguanosine",True,,,original
1447,1-Methyladenosine,True,,,original
1448,Thiabendazole,True,,,original
1449,Costunolide,True,,,original
1450,Cryptotanshinone,True,,,original
1451,Ginkgolide A,True,,,original
1452,1-Octanol,True,,,original
1453,Demethoxycurcumin,True,,,original
1454,Geranylacetone,True,,,original
1455,25-Hydroxycholesterol,True,,,original
1456,(S)-Reticuline,True,,,original
1457,Muramic Acid,True,,,original
1458,Alpha-Terpineol,True,,,original
1459,Cirsiliol,True,,,original
1460,Liquiritigenin,True,,,original
1461,Canthaxanthin,True,,,original
1462,Sphingosine,True,,,original
1463,Calmodulin,True,,,original
1464,Dcmp,True,,,original
1465,Arginine Hydrochloride,True,,,original
1466,Hyperin,True,,,original
1467,Brassicasterol,True,,,original
1468,Ginsenoside Rc,True,,,original
1469,Hordenine,True,,,original
1470,Sclareol,True,,,original
1471,Didymin,True,,,original
1472,Poncirin,True,,,original
1473,Rhoifolin,True,,,original
1474,Udp,True,,,original
1475,Quinic Acid,True,,,original
1476,Trilobatin,True,,,original
1477,Chlorite,True,,,original
1478,Benzylamine,True,,,original
1479,Pelargonidin,True,,,original
1480,Ecdysone,True,,,original
1481,Glycerylphosphoinositol,True,,,original
1482,Pentanal,True,,,original
1483,Gentiobiose,True,,,original
1484,Cyanidin 3-Glucoside,True,,,original
1485,3-Hydroxybenzoic Acid,True,,,original
1486,Ctp,True,,,original
1487,"1,3,7,9-Tetramethyluric Acid",True,,,original
1488,Adenine,True,,,original
1489,Pentacosanoic Acid,True,,,original
1490,Friedelin,True,,,original
1491,Menthone,True,,,original
1492,Indoxyl Sulfate,True,,,original
1493,Hypochlorite,True,,,original
1494,Dicoumarol,True,,,original
1495,2-Butanol,True,,,original
1496,(E)-Zeatin,True,,,original
1497,Beta-Amyrin,True,,,original
1498,Ethyl Gallate,True,,,original
1499,N-Acetyldopamine,True,,,original
1500,Maleic Acid,True,,,original
1501,Salvianolic Acid B,True,,,original
1502,5-Hydroxydopamine,True,,,original
1503,Cuminaldehyde,True,,,original
1504,Aconitic Acid,True,,,original
1505,Cinchonidine,True,,,original
1506,Euphol,True,,,original
1507,Psoralidin,True,,,original
1508,Nerolidol,True,,,original
1509,Schisandrin B,True,,,original
1510,L-Saccharopine,True,,,original
1511,Casuarinin,True,,,original
1512,Hypotaurine,True,,,original
1513,5-Methyltetrahydrofolic Acid,True,,,original
1514,Ferrous Gluconate,True,,,original
1515,Obtusifoliol,True,,,original
1516,Tamarixetin,True,,,original
1517,"L-Galactono-1,4-Lactone",True,,,original
1518,Myo-Inositol 1-Phosphate,True,,,original
1519,5-Hydroxymethyl-2-Furancarboxaldehyde,True,,,original
1520,Ginkgolide B,True,,,original
