head,relation,tail,weight,source,head_type,tail_type
Quercetin,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Quercetin,inhibits,Cytochrome P450 2C8,1.0,chembl36,COMPOUND,TARGET
Methyldopa,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Methyldopa,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,ATP-dependent translocase ABCB1,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Mastic gum,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
salicyl alcohol,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
salicyl alcohol,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"1,2-Benzenediol",inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Hypericin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Epigallocatechin-3-gallate,inhibits,ATP-dependent translocase ABCB1,1.0,chembl36,COMPOUND,TARGET
Epigallocatechin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Epigallocatechin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Creatinine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Creatinine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Urea,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Urea,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Tolnaftate,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Tolnaftate,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Tolnaftate,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Tolnaftate,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Tolnaftate,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
4-Methylaesculetin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
4-Methylaesculetin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Isobergapten,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Isobergapten,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Parathion,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Parathion,inhibits,ATP-dependent translocase ABCB1,1.0,chembl36,COMPOUND,TARGET
hydroquinone-O-β-D-glucopyranoside,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
hydroquinone-O-β-D-glucopyranoside,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Imidacloprid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Imidacloprid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Riboflavine,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Riboflavine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Riboflavine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
